,ETHNICITY,TERRITORY,ACADEMIC_INTEREST_1,ACADEMIC_INTEREST_2,Enroll,TOTAL_CONTACTS,SELF_INIT_CNTCTS,SOLICITED_CNTCTS,CAMPUS_VISIT,CONTACT_CODE1,IRSCHOOL,satscore,sex,mailq,telecq,premiere,interest,stuemail,init_span,int1rat,int2rat,hscrat,avg_income,distance,Instate
17,C,0,Unknown,Unknown,0,1,1,0,0,LTR,447290,861.3636363636364,1.0,1,,0,0,0,9,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
18,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,872.7272727272727,1.0,1,,0,0,1,9,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
19,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,884.0909090909091,1.0,1,,0,0,1,8,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
20,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,895.4545454545455,0.0,1,,0,0,1,6,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
21,C,0,Unknown,Unknown,0,1,1,0,0,EML,447290,906.8181818181818,1.0,1,,0,0,1,5,0.0171827456595668,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
22,C,0,BCH,Unknown,0,1,1,0,0,EML,447290,918.1818181818182,1.0,1,,0,0,1,13,0.0,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
23,B,0,BUAD,Unknown,0,1,0,1,0,N08,447290,929.5454545454544,1.0,1,,0,0,0,29,0.0091954022988505,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
24,C,0,CSI,Unknown,0,1,1,0,0,EML,447290,940.9090909090908,0.0,1,,0,0,1,12,0.0020120724346076,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
25,C,0,EEGR,Unknown,0,1,1,0,0,EML,447290,952.2727272727273,0.0,1,,0,0,1,13,0.0,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
26,A,0,EGR,Unknown,0,4,4,0,0,LMI,447290,963.6363636363636,0.0,1,,0,0,1,13,0.0072992700729927,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
27,C,0,FIN,Unknown,0,1,1,0,0,EML,447290,975.0,0.0,1,,0,0,1,14,0.0697674418604651,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
28,C,0,FM,Unknown,0,1,1,0,0,LTR,447290,986.3636363636364,1.0,1,,0,0,0,56,0.0555555555555555,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
29,C,0,MGT,Unknown,0,1,1,0,0,EML,447290,997.7272727272727,0.0,1,,0,0,1,6,0.0273972602739726,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
30,N,0,PSC,Unknown,0,1,0,1,0,P02,447290,1009.0909090909092,1.0,1,,0,0,1,30,0.0197044334975369,0.0203800021229168,0.0376516305204012,53494.74710029566,318.0161398664757,N
31,C,0,MGT,ART,0,1,1,0,0,EML,447290,1020.4545454545456,0.0,1,,0,0,1,9,0.0273972602739726,0.0352112676056338,0.0376516305204012,53494.74710029566,318.0161398664757,N
32,C,0,CSI,BUS,0,1,1,0,0,EML,447290,1031.8181818181818,1.0,1,,0,0,1,8,0.0020120724346076,0.0098765432098765,0.0376516305204012,53494.74710029566,318.0161398664757,N
33,B,0,BUAD,CSI,0,1,0,1,0,C02,447290,1043.1818181818182,0.0,1,,0,0,1,31,0.0091954022988505,0.0052631578947368,0.0376516305204012,53494.74710029566,318.0161398664757,N
34,C,0,ART,EGR,0,1,0,1,0,N02,447290,1054.5454545454545,0.0,1,,0,0,1,31,0.005736137667304,0.0205882352941176,0.0376516305204012,53494.74710029566,318.0161398664757,N
35,C,0,CST,ELC,0,1,1,0,0,EML,447290,1065.909090909091,0.0,1,,0,0,1,14,0.0131578947368421,0.0,0.0376516305204012,53494.74710029566,318.0161398664757,N
36,C,0,BUAD,ISY,0,1,1,0,0,EML,447290,1077.2727272727273,0.0,1,,0,0,1,10,0.0091954022988505,0.0,0.0376516305204012,53494.74710029566,318.0161398664757,N
37,H,8,MED,Unknown,0,1,0,1,0,N07,100707,1088.6363636363635,1.0,1,,0,0,1,31,0.0128700128700128,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
38,C,0,Unknown,Unknown,0,2,2,0,0,ACT,101348,1100.0,1.0,1,,0,1,0,10,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
39,C,8,Unknown,Unknown,0,1,0,0,0,BHC,101521,1113.3333333333333,1.0,3,,0,0,0,22,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
40,C,8,Unknown,Unknown,0,2,1,1,0,P06,141415,1126.6666666666667,0.0,1,,0,0,0,19,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
41,C,0,Unknown,Unknown,0,1,0,1,0,AGN,153780,1140.0,1.0,1,,0,0,1,14,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
42,C,0,Unknown,Unknown,0,1,1,0,0,HST,290134,1153.3333333333333,1.0,1,,0,0,0,11,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
43,C,0,Unknown,Unknown,0,2,1,1,0,P06,320548,1166.6666666666667,1.0,1,,0,0,0,18,0.0171827456595668,0.0203800021229168,0.0588235294117647,53494.74710029566,318.0161398664757,N
44,C,0,Unknown,Unknown,0,1,0,1,0,MCO,363340,1180.0,1.0,1,,0,0,1,10,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
45,C,0,Unknown,Unknown,0,1,0,0,0,BHC,373610,1193.3333333333333,1.0,4,,0,0,1,10,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
46,C,0,ARCH,MEC,0,1,0,1,0,N08,431830,1206.6666666666667,1.0,1,,0,0,0,30,0.008955223880597,0.0,0.0,53494.74710029566,318.0161398664757,N
47,C,0,NUR,Unknown,0,2,1,0,0,CIP,440325,1220.0,0.0,3,,0,0,1,11,0.0225872689938398,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
48,H,0,BUAD,Unknown,0,3,0,3,0,P02,440557,1233.3333333333333,0.0,1,3.0,0,0,1,30,0.0091954022988505,0.0203800021229168,0.0548780487804878,53494.74710029566,318.0161398664757,N
49,C,0,MED,Unknown,0,1,1,0,0,LTR,441045,1246.6666666666667,1.0,1,,0,0,0,45,0.0128700128700128,0.0203800021229168,0.0869565217391304,53494.74710029566,318.0161398664757,N
50,A,8,Unknown,Unknown,0,2,2,0,0,LMA,441172,1260.0,1.0,1,,0,1,1,6,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
51,C,0,Unknown,Unknown,0,1,0,0,0,HSV,441285,1272.5,0.0,3,,0,0,0,22,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
52,C,0,Unknown,Unknown,0,1,0,1,0,PPT,441335,1285.0,1.0,1,,0,0,0,14,0.0171827456595668,0.0203800021229168,0.0571428571428571,53494.74710029566,318.0161398664757,N
53,B,0,BUS,Unknown,0,1,0,0,0,CIP,441337,1297.5,1.0,1,3.0,0,0,0,21,0.0157728706624605,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
54,C,0,Unknown,Unknown,0,2,2,0,0,HST,441471,1310.0,1.0,1,1.0,0,0,0,10,0.0171827456595668,0.0203800021229168,0.1231343283582089,53494.74710029566,318.0161398664757,N
55,A,8,Unknown,Unknown,0,4,4,0,0,SAT,441505,1350.0,1.0,1,3.0,0,0,1,15,0.0171827456595668,0.0203800021229168,0.0416666666666666,53494.74710029566,318.0161398664757,N
56,C,0,CSI,Unknown,0,1,0,0,0,BHC,441865,1324.2857142857142,1.0,3,,0,0,0,55,0.0020120724346076,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
57,H,0,Unknown,Unknown,0,1,0,1,0,MCO,441910,1298.571428571429,1.0,1,,0,0,1,10,0.0171827456595668,0.0203800021229168,0.015625,53494.74710029566,318.0161398664757,N
58,H,0,Unknown,Unknown,0,1,0,0,0,CIP,442224,1272.857142857143,1.0,4,,0,0,0,21,0.0171827456595668,0.0203800021229168,0.0062111801242236,53494.74710029566,318.0161398664757,N
59,H,0,PPHR,Unknown,0,2,1,0,0,CIP,442224,1247.142857142857,1.0,5,,0,0,1,21,0.0,0.0203800021229168,0.0062111801242236,53494.74710029566,318.0161398664757,N
60,N,0,BIO,Unknown,0,3,2,0,0,CIP,442516,1221.428571428571,1.0,4,,0,0,1,21,0.0199692780337941,0.0203800021229168,0.0099009900990099,53494.74710029566,318.0161398664757,N
61,C,0,PSY,Unknown,0,1,0,0,0,BHC,442690,1195.7142857142858,1.0,5,2.0,0,0,1,10,0.0291878172588832,0.0203800021229168,0.0566037735849056,53494.74710029566,318.0161398664757,N
62,C,0,Unknown,Unknown,1,8,7,0,0,CIP,442770,1170.0,0.0,5,4.0,1,0,1,28,0.0171827456595668,0.0203800021229168,0.0785714285714285,53494.74710029566,318.0161398664757,N
64,B,0,PSY,DENT,0,1,0,1,0,N10,443215,1176.6666666666667,1.0,1,,0,0,0,31,0.0291878172588832,0.0327868852459016,0.0,53494.74710029566,318.0161398664757,N
65,C,0,Unknown,Unknown,0,1,0,1,0,PPT,443358,1180.0,1.0,1,,0,0,0,14,0.0171827456595668,0.0203800021229168,0.1103896103896103,53494.74710029566,318.0161398664757,N
66,C,0,MUS,EGR,0,1,0,0,0,CIP,443377,1183.3333333333333,0.0,4,,0,0,0,35,0.0058823529411764,0.0205882352941176,0.0,53494.74710029566,318.0161398664757,N
67,H,0,Unknown,Unknown,0,2,1,0,0,CIP,443451,1186.6666666666667,1.0,3,,0,0,1,21,0.0171827456595668,0.0203800021229168,0.0169491525423728,53494.74710029566,318.0161398664757,N
68,A,8,Unknown,Unknown,1,1,1,0,0,LMA,443459,1190.0,1.0,1,,0,0,1,9,0.0171827456595668,0.0203800021229168,0.1111111111111111,53494.74710029566,318.0161398664757,N
69,C,0,Unknown,Unknown,0,1,0,0,0,CIP,443522,1140.0,1.0,3,,0,0,0,11,0.0171827456595668,0.0203800021229168,0.0326797385620915,53494.74710029566,318.0161398664757,N
70,C,0,Unknown,Unknown,0,1,0,1,0,PPT,443560,1090.0,0.0,1,,0,0,0,14,0.0171827456595668,0.0203800021229168,0.0588235294117647,53494.74710029566,318.0161398664757,N
71,C,0,Unknown,Unknown,0,1,0,1,0,PPT,444300,1040.0,1.0,1,,0,0,0,14,0.0171827456595668,0.0203800021229168,0.1518987341772152,53494.74710029566,318.0161398664757,N
72,H,0,BUS,THEA,0,1,0,0,0,CIP,444596,990.0,0.0,4,3.0,0,0,0,21,0.0157728706624605,0.0049019607843137,0.0454545454545454,53494.74710029566,318.0161398664757,N
73,C,0,Unknown,Unknown,0,1,0,0,0,CIP,445325,940.0,0.0,5,,0,0,0,19,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
74,H,0,ACC,REL,0,1,0,1,0,N02,445540,890.0,1.0,1,,0,0,1,31,0.0181818181818181,0.0592592592592592,0.0,53494.74710029566,318.0161398664757,N
75,B,0,THEA,Unknown,0,3,2,1,0,N02,446154,840.0,1.0,1,,0,0,0,31,0.0090497737556561,0.0203800021229168,0.0140845070422535,53494.74710029566,318.0161398664757,N
76,O,0,Unknown,Unknown,0,3,1,2,0,PRC,446313,790.0,1.0,1,,0,0,1,17,0.0171827456595668,0.0203800021229168,0.025,53494.74710029566,318.0161398664757,N
77,H,0,Unknown,Unknown,0,1,0,1,0,PCM,446395,740.0,1.0,1,,0,0,0,29,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
78,C,0,Unknown,Unknown,0,1,0,0,0,CIP,446530,690.0,0.0,5,,0,0,0,34,0.0171827456595668,0.0203800021229168,0.0108695652173913,53494.74710029566,318.0161398664757,N
79,N,0,Unknown,Unknown,0,3,2,1,0,PPT,446930,640.0,1.0,1,,0,0,1,14,0.0171827456595668,0.0203800021229168,0.0303030303030303,53494.74710029566,318.0161398664757,N
80,C,8,NUR,EDU,0,1,0,0,0,HSV,447282,590.0,1.0,4,,0,0,1,12,0.0225872689938398,0.0214132762312633,0.12,53494.74710029566,318.0161398664757,N
81,B,0,Unknown,Unknown,0,1,1,0,0,SAT,447492,540.0,1.0,1,,0,0,0,10,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
82,C,0,Unknown,Unknown,1,6,6,0,0,ACT,563100,1270.0,1.0,1,,0,0,1,17,0.0171827456595668,0.0203800021229168,0.25,53494.74710029566,318.0161398664757,N
83,O,0,Unknown,Unknown,1,1,1,0,0,LMA,619545,1250.0,1.0,1,,0,0,1,8,0.0171827456595668,0.0203800021229168,0.3333333333333333,53494.74710029566,318.0161398664757,N
84,A,0,Unknown,Unknown,1,3,3,0,0,LMA,687225,1250.0,1.0,1,,0,0,1,10,0.0171827456595668,0.0203800021229168,0.3333333333333333,53494.74710029566,318.0161398664757,N
85,A,0,Unknown,Unknown,1,2,2,0,0,SAT,697051,1410.0,1.0,1,,0,0,1,8,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,318.0161398664757,N
86,C,0,Unknown,Unknown,0,1,0,0,0,BHC,734618,1210.0,0.0,5,,0,1,1,46,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
87,C,0,Unknown,Unknown,1,5,5,0,0,SAT,820185,1010.0,0.0,1,,1,0,1,10,0.0171827456595668,0.0203800021229168,0.5,53494.74710029566,318.0161398664757,N
88,H,0,Unknown,Unknown,1,2,2,0,0,LMA,862150,970.0,1.0,1,,0,0,1,6,0.0171827456595668,0.0203800021229168,0.5,53494.74710029566,318.0161398664757,N
89,C,0,Unknown,Unknown,0,4,4,0,0,EML,870760,1120.0,1.0,1,,0,0,1,11,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
90,H,0,Unknown,Unknown,1,4,4,0,0,SAT,878160,940.0,1.0,1,,0,0,1,16,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,318.0161398664757,N
91,B,0,Unknown,Unknown,1,3,3,0,0,SAT,886300,1230.0,0.0,1,,0,0,1,11,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,318.0161398664757,N
92,C,0,Unknown,Unknown,1,2,2,0,0,LMA,H00029,1360.0,1.0,1,,0,0,1,8,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,318.0161398664757,N
93,B,0,Unknown,Unknown,0,2,2,0,0,LMA,H03615,1190.0,0.0,1,,0,0,1,21,0.0171827456595668,0.0203800021229168,0.0919540229885057,53494.74710029566,318.0161398664757,N
94,B,0,Unknown,Unknown,1,2,2,0,0,LMA,H03615,1240.0,0.0,1,,0,1,1,17,0.0171827456595668,0.0203800021229168,0.0919540229885057,53494.74710029566,318.0161398664757,N
95,O,0,Unknown,Unknown,1,2,2,0,0,LMA,H03615,1050.0,0.0,1,,0,0,1,11,0.0171827456595668,0.0203800021229168,0.0919540229885057,53494.74710029566,318.0161398664757,N
96,O,0,Unknown,Unknown,1,1,1,0,0,SAT,H03615,1460.0,0.0,1,,0,0,1,9,0.0171827456595668,0.0203800021229168,0.0919540229885057,53494.74710029566,318.0161398664757,N
97,C,0,Unknown,Unknown,0,2,2,0,0,LMA,H03615,1060.0,0.0,1,,0,0,1,9,0.0171827456595668,0.0203800021229168,0.0919540229885057,53494.74710029566,318.0161398664757,N
98,B,0,Unknown,Unknown,1,2,2,0,0,LMA,H03615,1150.0,1.0,1,,0,0,1,8,0.0171827456595668,0.0203800021229168,0.0919540229885057,53494.74710029566,318.0161398664757,N
99,A,0,BUS,BUAD,0,1,0,1,0,,H03615,1120.0,0.0,1,,0,0,1,5,0.0157728706624605,0.044776119402985,0.0919540229885057,53494.74710029566,318.0161398664757,N
100,A,0,Unknown,Unknown,1,4,4,0,0,LMA,H03650,1090.0,0.0,1,,0,0,1,10,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,318.0161398664757,N
101,H,0,Unknown,Unknown,1,1,1,0,0,LMA,H03652,1140.0,1.0,1,,0,0,1,7,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,318.0161398664757,N
102,C,8,ENT,LAW,1,10,10,0,1,LMI,222515,1050.0,0.0,4,,0,0,1,23,0.0833333333333333,0.0112359550561797,1.0,79781.0,1600.047758375286,N
103,C,5,MED,PEDU,1,6,6,0,1,LMI,220645,1300.0,1.0,1,3.0,0,0,1,13,0.0128700128700128,0.0476190476190476,1.0,129811.0,1619.2802603585124,N
104,C,5,PSY,CHO,1,10,8,1,1,PHN,220860,1120.0,1.0,1,3.0,1,2,1,19,0.0291878172588832,0.2,0.3333333333333333,71174.0,1606.4023120951838,N
105,C,8,ENG,CFS,1,6,6,0,1,LMI,220495,1200.0,1.0,5,,0,1,1,23,0.0176991150442477,0.02,0.5,100358.0,1622.7830501578685,N
106,O,5,Unknown,Unknown,1,4,4,0,0,SAT,221323,1070.0,1.0,1,3.0,0,0,1,11,0.0171827456595668,0.0203800021229168,0.5,50879.0,1641.800269419908,N
107,C,5,Unknown,Unknown,1,4,4,0,0,PHN,400059,1010.0,0.0,1,,0,0,1,10,0.0171827456595668,0.0203800021229168,1.0,52455.0,1601.159598264211,N
108,C,5,Unknown,Unknown,1,3,3,0,0,LMI,400059,1070.0,0.0,1,,0,0,1,5,0.0171827456595668,0.0203800021229168,1.0,52455.0,1601.159598264211,N
109,C,5,Unknown,Unknown,0,1,0,1,0,COC,400224,1127.5,1.0,1,,0,0,0,23,0.0171827456595668,0.0203800021229168,0.0,53494.74710029566,318.0161398664757,N
110,C,5,Unknown,Unknown,0,2,1,1,0,PRC,400287,1185.0,1.0,1,,0,0,1,17,0.0171827456595668,0.0203800021229168,0.0,57615.0,1597.012796475057,N
111,H,5,Unknown,Unknown,0,1,0,1,0,CWY,041125,1242.5,1.0,1,,0,0,1,7,0.0171827456595668,0.0203800021229168,0.0,32323.0,1599.8612622054602,N
112,O,5,BIO,MED,1,9,9,0,1,LMI,300395,1300.0,1.0,1,3.0,0,0,1,16,0.0199692780337941,0.0121334681496461,1.0,53494.74710029566,318.0161398664757,N
113,C,8,HFS,Unknown,1,8,8,0,0,LMI,300104,1130.0,1.0,1,,1,0,1,24,0.1111111111111111,0.0203800021229168,0.5,42695.0,1639.9547046940768,N
114,C,5,FSC,LAW,1,10,9,1,1,LMI,300636,1310.0,1.0,1,3.0,0,1,1,14,0.1004784688995215,0.0112359550561797,1.0,36318.0,1659.5081937795878,N
115,C,5,Unknown,Unknown,1,5,4,1,0,LMI,200278,1110.0,0.0,1,,0,0,1,16,0.0171827456595668,0.0203800021229168,1.0,66855.0,1700.7193882037134,N
116,C,5,Unknown,Unknown,0,2,2,0,0,SAT,460085,1210.0,1.0,1,,0,0,0,11,0.0171827456595668,0.0203800021229168,0.0,33049.0,1585.8221257681732,N
117,C,5,Unknown,Unknown,0,1,0,1,0,CLD,447290,1236.6666666666667,1.0,1,,0,0,0,30,0.0171827456595668,0.0203800021229168,0.0376516305204012,33507.0,1571.5322499322915,N
118,C,5,Unknown,Unknown,0,1,0,1,0,CLD,447290,1263.3333333333333,1.0,1,,0,0,1,30,0.0171827456595668,0.0203800021229168,0.0376516305204012,33611.0,1547.4448776775002,N
119,N,5,MED,Unknown,0,1,0,1,0,P02,447290,1290.0,1.0,1,,0,0,1,30,0.0128700128700128,0.0203800021229168,0.0376516305204012,77991.0,1540.5337042743697,N
120,C,5,Unknown,Unknown,0,1,0,1,0,PCG,447290,1316.6666666666667,1.0,1,,0,0,1,27,0.0171827456595668,0.0203800021229168,0.0376516305204012,49414.0,1544.5010947753003,N
121,C,5,Unknown,Unknown,0,2,1,1,0,PCG,070550,1343.3333333333333,1.0,1,,0,0,1,19,0.0171827456595668,0.0203800021229168,0.0,88483.0,1500.2351376472625,N
122,C,5,Unknown,Unknown,1,5,4,1,0,SAT,070751,1370.0,1.0,1,,1,0,1,10,0.0171827456595668,0.0203800021229168,0.25,52315.0,1477.551895210139,N
123,C,5,Unknown,Unknown,0,1,0,1,0,PCG,310120,1313.3333333333333,1.0,1,,0,0,1,22,0.0171827456595668,0.0203800021229168,0.0,53225.0,1439.4395409451188,N
124,N,5,SCI,HIS,0,2,1,1,0,CWY,311613,1256.6666666666667,1.0,1,,0,0,0,17,0.0030674846625766,0.0119760479041916,0.0,69115.0,1435.7954934424802,N
125,B,8,Unknown,Unknown,1,2,2,0,0,LMA,311328,1200.0,1.0,1,,0,0,1,5,0.0171827456595668,0.0203800021229168,1.0,51254.0,1432.4259790662195,N
126,C,5,Unknown,Unknown,0,1,0,0,0,CIP,311567,1250.0,1.0,4,,0,0,0,19,0.0171827456595668,0.0203800021229168,0.0,60428.0,1439.3252494119035,N
127,C,5,LAW,ACC,1,8,8,0,0,EML,310227,1300.0,0.0,3,3.0,1,0,1,32,0.0121163166397415,0.0306122448979591,0.5,103326.0,1409.5519779325014,N
128,C,5,Unknown,Unknown,1,3,3,0,1,LMA,311002,1410.0,1.0,1,,0,0,1,9,0.0171827456595668,0.0203800021229168,1.0,60904.0,1415.5272212241646,N
129,C,5,Unknown,Unknown,1,2,2,0,0,LMA,310765,1120.0,0.0,1,,0,0,1,11,0.0171827456595668,0.0203800021229168,0.5,127481.0,1418.7374250375435,N
130,B,5,CHE,MTH,0,2,2,0,0,LOC,310840,1195.0,0.0,5,,0,0,0,11,0.0,0.0112359550561797,0.0,53494.74710029566,318.0161398664757,N
131,C,8,Unknown,Unknown,1,10,9,1,1,LMI,311302,1270.0,0.0,1,2.0,1,0,1,20,0.0171827456595668,0.0203800021229168,1.0,53494.74710029566,1395.0977003170403,N
132,N,5,SCI,EDU,0,2,1,1,0,CWY,447290,1250.0,1.0,1,,0,0,1,13,0.0030674846625766,0.0214132762312633,0.0376516305204012,54987.0,1362.3336682940746,N
133,B,5,Unknown,Unknown,0,2,1,1,0,PCG,310221,1230.0,1.0,1,,0,0,1,23,0.0171827456595668,0.0203800021229168,0.0,54987.0,1362.3336682940746,N
134,C,8,Unknown,Unknown,1,4,4,0,0,LMI,240830,1210.0,1.0,1,,0,0,1,9,0.0171827456595668,0.0203800021229168,0.5,114854.0,1409.198890397514,N
135,N,5,Unknown,Unknown,1,3,2,1,0,SAT,311255,1180.0,1.0,1,,0,0,1,12,0.0171827456595668,0.0203800021229168,1.0,66436.0,1411.2524909520907,N
136,C,5,ID,FD,1,8,7,1,1,CAV,311255,1270.0,1.0,4,1.0,1,0,1,14,0.0304878048780487,0.0120481927710843,1.0,66436.0,1411.2524909520907,N
137,N,5,SC,MKT,0,5,4,1,0,CWY,447290,1250.0,1.0,1,,0,0,1,13,0.0,0.056338028169014,0.0376516305204012,90977.0,1406.2002895975656,N
138,H,0,PMED,Unknown,1,6,6,0,0,SAT,576146,1230.0,0.0,4,,0,0,1,16,0.0533088235294117,0.0203800021229168,0.5,53494.74710029566,318.0161398664757,N
139,O,5,Unknown,Unknown,0,1,0,1,0,PCG,333705,1233.3333333333333,0.0,1,,0,0,0,29,0.0171827456595668,0.0203800021229168,0.0,49733.0,1450.35979113369,N
140,C,8,Unknown,Unknown,0,2,1,1,0,PRC,335383,1236.6666666666667,0.0,1,,0,0,1,18,0.0171827456595668,0.0203800021229168,0.0,61868.0,1435.6157171509512,N
141,C,5,Unknown,Unknown,1,6,6,0,0,SAT,335540,1240.0,1.0,1,,0,0,1,10,0.0171827456595668,0.0203800021229168,1.0,83329.0,1465.9762184583533,N
142,N,5,Unknown,Unknown,0,2,1,1,0,PCG,336085,1202.5,1.0,1,,0,0,1,16,0.0171827456595668,0.0203800021229168,0.0,85990.0,1470.8813975516034,N
143,N,5,BUS,Unknown,0,2,2,0,0,EML,447290,1165.0,0.0,1,,0,0,1,22,0.0157728706624605,0.0203800021229168,0.0376516305204012,70888.0,1461.7312201708492,N
